Tag Length (Average tag length = 49.814151)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000038
3	0.000065
4	0.000123
5	0.000134
6	0.000124
7	0.000123
8	0.000129
9	0.000137
10	0.000139
11	0.000152
12	0.000161
13	0.000169
14	0.000165
15	0.000159
16	0.000165
17	0.000165
18	0.000169
19	0.000160
20	0.000164
21	0.000160
22	0.000176
23	0.000172
24	0.000178
25	0.000164
26	0.000163
27	0.000165
28	0.000163
29	0.000170
30	0.000165
31	0.000172
32	0.000159
33	0.000159
34	0.000166
35	0.000162
36	0.000158
37	0.000159
38	0.000145
39	0.000149
40	0.000139
41	0.000141
42	0.000132
43	0.000123
44	0.000630
45	0.000125
46	0.001124
47	0.000047
48	0.004728
49	0.000000
50	0.987064
