Tag Length (Average tag length = 49.817659)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000041
3	0.000061
4	0.000123
5	0.000141
6	0.000131
7	0.000120
8	0.000121
9	0.000134
10	0.000138
11	0.000147
12	0.000154
13	0.000159
14	0.000161
15	0.000160
16	0.000152
17	0.000161
18	0.000164
19	0.000161
20	0.000170
21	0.000160
22	0.000171
23	0.000165
24	0.000174
25	0.000170
26	0.000161
27	0.000169
28	0.000158
29	0.000160
30	0.000152
31	0.000167
32	0.000164
33	0.000161
34	0.000157
35	0.000149
36	0.000153
37	0.000142
38	0.000138
39	0.000148
40	0.000127
41	0.000135
42	0.000125
43	0.000124
44	0.000629
45	0.000126
46	0.001106
47	0.000049
48	0.004625
49	0.000000
50	0.987334
