Tag Length (Average tag length = 284.412130)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000226
3	0.000316
4	0.000676
5	0.000750
6	0.000651
7	0.000724
8	0.000717
9	0.000770
10	0.000783
11	0.000862
12	0.000909
13	0.000936
14	0.000955
15	0.000955
16	0.000983
17	0.000924
18	0.000961
19	0.000924
20	0.000902
21	0.000979
22	0.001010
23	0.001030
24	0.000986
25	0.000963
26	0.000972
27	0.000985
28	0.000981
29	0.000936
30	0.000949
31	0.001005
32	0.000933
33	0.000978
34	0.000974
35	0.000958
36	0.000947
37	0.000861
38	0.000833
39	0.000853
40	0.000764
41	0.000818
42	0.000775
43	0.000759
44	0.003616
45	0.000735
46	0.006448
47	0.000270
48	0.027383
49	0.000000
50	5.634902
