Tag Length (Average tag length = 49.829092)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000034
3	0.000052
4	0.000105
5	0.000123
6	0.000117
7	0.000116
8	0.000115
9	0.000129
10	0.000130
11	0.000142
12	0.000146
13	0.000151
14	0.000149
15	0.000152
16	0.000147
17	0.000148
18	0.000144
19	0.000155
20	0.000152
21	0.000155
22	0.000161
23	0.000161
24	0.000157
25	0.000161
26	0.000154
27	0.000160
28	0.000156
29	0.000155
30	0.000152
31	0.000152
32	0.000151
33	0.000150
34	0.000153
35	0.000150
36	0.000149
37	0.000146
38	0.000138
39	0.000137
40	0.000132
41	0.000128
42	0.000117
43	0.000114
44	0.000604
45	0.000112
46	0.001026
47	0.000046
48	0.004316
49	0.000000
50	0.988101
