Tag Length (Average tag length = 49.845615)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000032
3	0.000058
4	0.000102
5	0.000108
6	0.000101
7	0.000106
8	0.000106
9	0.000117
10	0.000124
11	0.000129
12	0.000140
13	0.000137
14	0.000136
15	0.000141
16	0.000129
17	0.000133
18	0.000138
19	0.000131
20	0.000130
21	0.000143
22	0.000149
23	0.000144
24	0.000139
25	0.000139
26	0.000140
27	0.000135
28	0.000131
29	0.000134
30	0.000134
31	0.000138
32	0.000140
33	0.000133
34	0.000133
35	0.000130
36	0.000129
37	0.000134
38	0.000133
39	0.000121
40	0.000117
41	0.000110
42	0.000100
43	0.000105
44	0.000542
45	0.000102
46	0.000865
47	0.000038
48	0.003870
49	0.000000
50	0.989371
