Tag Length (Average tag length = 49.808808)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000058
4	0.000125
5	0.000142
6	0.000128
7	0.000118
8	0.000123
9	0.000134
10	0.000133
11	0.000158
12	0.000157
13	0.000168
14	0.000176
15	0.000167
16	0.000165
17	0.000172
18	0.000181
19	0.000167
20	0.000166
21	0.000179
22	0.000176
23	0.000176
24	0.000179
25	0.000176
26	0.000175
27	0.000179
28	0.000160
29	0.000174
30	0.000171
31	0.000179
32	0.000171
33	0.000184
34	0.000180
35	0.000171
36	0.000164
37	0.000165
38	0.000156
39	0.000161
40	0.000152
41	0.000140
42	0.000140
43	0.000131
44	0.000640
45	0.000130
46	0.001150
47	0.000050
48	0.004934
49	0.000000
50	0.986577
