Tag Length (Average tag length = 104.593392)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000046
3	0.000072
4	0.000164
5	0.000190
6	0.000167
7	0.000169
8	0.000185
9	0.000192
10	0.000205
11	0.000226
12	0.000214
13	0.000218
14	0.000223
15	0.000227
16	0.000219
17	0.000221
18	0.000218
19	0.000212
20	0.000220
21	0.000220
22	0.000229
23	0.000221
24	0.000230
25	0.000232
26	0.000213
27	0.000226
28	0.000224
29	0.000218
30	0.000205
31	0.000222
32	0.000216
33	0.000217
34	0.000204
35	0.000215
36	0.000211
37	0.000210
38	0.000200
39	0.000192
40	0.000206
41	0.000187
42	0.000176
43	0.000164
44	0.000946
45	0.000175
46	0.001459
47	0.000064
48	0.005843
49	0.000000
50	2.079946
