Tag Length (Average tag length = 49.836765)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000033
3	0.000050
4	0.000110
5	0.000122
6	0.000107
7	0.000109
8	0.000114
9	0.000117
10	0.000128
11	0.000133
12	0.000141
13	0.000142
14	0.000143
15	0.000140
16	0.000145
17	0.000146
18	0.000151
19	0.000142
20	0.000143
21	0.000144
22	0.000149
23	0.000145
24	0.000151
25	0.000147
26	0.000145
27	0.000151
28	0.000144
29	0.000146
30	0.000146
31	0.000149
32	0.000144
33	0.000148
34	0.000141
35	0.000140
36	0.000134
37	0.000138
38	0.000131
39	0.000128
40	0.000131
41	0.000125
42	0.000118
43	0.000111
44	0.000571
45	0.000112
46	0.000987
47	0.000046
48	0.004180
49	0.000000
50	0.988583
