Tag Length (Average tag length = 49.816107)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000065
4	0.000121
5	0.000137
6	0.000121
7	0.000118
8	0.000123
9	0.000136
10	0.000138
11	0.000155
12	0.000159
13	0.000166
14	0.000165
15	0.000158
16	0.000161
17	0.000163
18	0.000169
19	0.000158
20	0.000161
21	0.000160
22	0.000167
23	0.000166
24	0.000177
25	0.000167
26	0.000168
27	0.000168
28	0.000160
29	0.000164
30	0.000166
31	0.000169
32	0.000165
33	0.000166
34	0.000164
35	0.000161
36	0.000152
37	0.000154
38	0.000147
39	0.000142
40	0.000141
41	0.000138
42	0.000122
43	0.000128
44	0.000631
45	0.000121
46	0.001110
47	0.000047
48	0.004638
49	0.000000
50	0.987232
