Tag Length (Average tag length = 49.821626)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000036
3	0.000056
4	0.000121
5	0.000138
6	0.000121
7	0.000126
8	0.000125
9	0.000133
10	0.000137
11	0.000148
12	0.000155
13	0.000157
14	0.000149
15	0.000164
16	0.000156
17	0.000156
18	0.000159
19	0.000154
20	0.000156
21	0.000153
22	0.000157
23	0.000165
24	0.000162
25	0.000161
26	0.000157
27	0.000163
28	0.000164
29	0.000160
30	0.000152
31	0.000157
32	0.000161
33	0.000153
34	0.000160
35	0.000155
36	0.000147
37	0.000144
38	0.000142
39	0.000137
40	0.000135
41	0.000123
42	0.000121
43	0.000119
44	0.000625
45	0.000118
46	0.001105
47	0.000048
48	0.004488
49	0.000000
50	0.987620
