Tag Length (Average tag length = 49.816688)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000037
3	0.000060
4	0.000116
5	0.000136
6	0.000122
7	0.000125
8	0.000128
9	0.000136
10	0.000145
11	0.000145
12	0.000156
13	0.000162
14	0.000170
15	0.000156
16	0.000155
17	0.000161
18	0.000160
19	0.000158
20	0.000161
21	0.000157
22	0.000169
23	0.000174
24	0.000168
25	0.000170
26	0.000166
27	0.000168
28	0.000163
29	0.000163
30	0.000166
31	0.000167
32	0.000169
33	0.000162
34	0.000163
35	0.000164
36	0.000164
37	0.000159
38	0.000148
39	0.000145
40	0.000139
41	0.000133
42	0.000124
43	0.000127
44	0.000619
45	0.000131
46	0.001119
47	0.000049
48	0.004611
49	0.000000
50	0.987255
