Tag Length (Average tag length = 49.827220)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000036
3	0.000057
4	0.000114
5	0.000134
6	0.000120
7	0.000121
8	0.000122
9	0.000122
10	0.000134
11	0.000141
12	0.000151
13	0.000156
14	0.000151
15	0.000149
16	0.000149
17	0.000152
18	0.000156
19	0.000152
20	0.000147
21	0.000147
22	0.000151
23	0.000160
24	0.000165
25	0.000160
26	0.000153
27	0.000157
28	0.000150
29	0.000151
30	0.000151
31	0.000154
32	0.000152
33	0.000151
34	0.000146
35	0.000149
36	0.000141
37	0.000144
38	0.000138
39	0.000137
40	0.000135
41	0.000124
42	0.000115
43	0.000115
44	0.000607
45	0.000115
46	0.001055
47	0.000047
48	0.004336
49	0.000000
50	0.988026
