Tag Length (Average tag length = 49.834424)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000056
4	0.000109
5	0.000117
6	0.000108
7	0.000111
8	0.000118
9	0.000120
10	0.000134
11	0.000136
12	0.000143
13	0.000144
14	0.000149
15	0.000143
16	0.000141
17	0.000149
18	0.000148
19	0.000147
20	0.000142
21	0.000148
22	0.000153
23	0.000151
24	0.000150
25	0.000149
26	0.000157
27	0.000144
28	0.000145
29	0.000143
30	0.000146
31	0.000154
32	0.000150
33	0.000145
34	0.000141
35	0.000142
36	0.000140
37	0.000141
38	0.000137
39	0.000136
40	0.000125
41	0.000125
42	0.000120
43	0.000106
44	0.000569
45	0.000108
46	0.000994
47	0.000045
48	0.004138
49	0.000000
50	0.988542
