Tag Length (Average tag length = 49.826428)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000034
3	0.000054
4	0.000120
5	0.000138
6	0.000119
7	0.000116
8	0.000121
9	0.000124
10	0.000136
11	0.000139
12	0.000155
13	0.000155
14	0.000160
15	0.000148
16	0.000150
17	0.000153
18	0.000150
19	0.000152
20	0.000150
21	0.000154
22	0.000154
23	0.000157
24	0.000165
25	0.000162
26	0.000156
27	0.000151
28	0.000157
29	0.000152
30	0.000152
31	0.000159
32	0.000152
33	0.000149
34	0.000144
35	0.000151
36	0.000146
37	0.000147
38	0.000137
39	0.000133
40	0.000129
41	0.000127
42	0.000117
43	0.000117
44	0.000606
45	0.000115
46	0.001071
47	0.000045
48	0.004373
49	0.000000
50	0.987950
