Tag Length (Average tag length = 49.813595)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000040
3	0.000055
4	0.000118
5	0.000131
6	0.000114
7	0.000127
8	0.000126
9	0.000135
10	0.000137
11	0.000151
12	0.000159
13	0.000164
14	0.000167
15	0.000167
16	0.000172
17	0.000162
18	0.000168
19	0.000162
20	0.000158
21	0.000171
22	0.000177
23	0.000180
24	0.000173
25	0.000169
26	0.000170
27	0.000173
28	0.000172
29	0.000164
30	0.000166
31	0.000176
32	0.000163
33	0.000171
34	0.000171
35	0.000168
36	0.000166
37	0.000151
38	0.000146
39	0.000149
40	0.000134
41	0.000143
42	0.000136
43	0.000133
44	0.000633
45	0.000129
46	0.001129
47	0.000047
48	0.004796
49	0.000000
50	0.986930
