Tag Length (Average tag length = 49.841796)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000027
3	0.000044
4	0.000103
5	0.000117
6	0.000108
7	0.000105
8	0.000113
9	0.000113
10	0.000121
11	0.000130
12	0.000134
13	0.000142
14	0.000137
15	0.000138
16	0.000137
17	0.000136
18	0.000141
19	0.000135
20	0.000143
21	0.000137
22	0.000148
23	0.000147
24	0.000151
25	0.000148
26	0.000146
27	0.000146
28	0.000146
29	0.000139
30	0.000144
31	0.000142
32	0.000147
33	0.000138
34	0.000140
35	0.000137
36	0.000138
37	0.000135
38	0.000131
39	0.000130
40	0.000122
41	0.000121
42	0.000112
43	0.000115
44	0.000566
45	0.000113
46	0.000973
47	0.000041
48	0.003888
49	0.000000
50	0.989032
