Tag Length (Average tag length = 233.316586)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000183
3	0.000279
4	0.000575
5	0.000656
6	0.000617
7	0.000585
8	0.000598
9	0.000612
10	0.000645
11	0.000716
12	0.000718
13	0.000759
14	0.000746
15	0.000753
16	0.000777
17	0.000711
18	0.000776
19	0.000726
20	0.000766
21	0.000737
22	0.000762
23	0.000787
24	0.000786
25	0.000757
26	0.000772
27	0.000792
28	0.000771
29	0.000758
30	0.000753
31	0.000772
32	0.000756
33	0.000754
34	0.000742
35	0.000767
36	0.000704
37	0.000727
38	0.000707
39	0.000667
40	0.000635
41	0.000605
42	0.000597
43	0.000556
44	0.002960
45	0.000554
46	0.005210
47	0.000223
48	0.021930
49	0.000000
50	4.623729
