Tag Length (Average tag length = 49.819438)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000040
3	0.000058
4	0.000116
5	0.000137
6	0.000116
7	0.000122
8	0.000118
9	0.000123
10	0.000140
11	0.000151
12	0.000158
13	0.000166
14	0.000161
15	0.000155
16	0.000158
17	0.000158
18	0.000160
19	0.000154
20	0.000156
21	0.000161
22	0.000164
23	0.000172
24	0.000163
25	0.000169
26	0.000169
27	0.000163
28	0.000159
29	0.000164
30	0.000159
31	0.000161
32	0.000164
33	0.000163
34	0.000165
35	0.000163
36	0.000148
37	0.000149
38	0.000146
39	0.000146
40	0.000145
41	0.000134
42	0.000125
43	0.000126
44	0.000626
45	0.000118
46	0.001090
47	0.000049
48	0.004587
49	0.000000
50	0.987406
