Tag Length (Average tag length = 49.815885)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000038
3	0.000054
4	0.000120
5	0.000129
6	0.000122
7	0.000119
8	0.000123
9	0.000134
10	0.000134
11	0.000145
12	0.000154
13	0.000166
14	0.000161
15	0.000158
16	0.000161
17	0.000164
18	0.000165
19	0.000165
20	0.000171
21	0.000158
22	0.000170
23	0.000174
24	0.000178
25	0.000167
26	0.000173
27	0.000173
28	0.000165
29	0.000171
30	0.000171
31	0.000166
32	0.000165
33	0.000164
34	0.000167
35	0.000164
36	0.000162
37	0.000160
38	0.000153
39	0.000147
40	0.000144
41	0.000140
42	0.000135
43	0.000127
44	0.000636
45	0.000124
46	0.001119
47	0.000052
48	0.004663
49	0.000000
50	0.987128
