Tag Length (Average tag length = 49.816668)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000039
3	0.000061
4	0.000122
5	0.000136
6	0.000127
7	0.000125
8	0.000131
9	0.000133
10	0.000139
11	0.000148
12	0.000157
13	0.000164
14	0.000163
15	0.000161
16	0.000159
17	0.000161
18	0.000160
19	0.000156
20	0.000156
21	0.000162
22	0.000164
23	0.000166
24	0.000170
25	0.000168
26	0.000166
27	0.000168
28	0.000162
29	0.000165
30	0.000166
31	0.000168
32	0.000160
33	0.000160
34	0.000157
35	0.000161
36	0.000156
37	0.000155
38	0.000148
39	0.000144
40	0.000138
41	0.000135
42	0.000127
43	0.000123
44	0.000636
45	0.000119
46	0.001122
47	0.000050
48	0.004692
49	0.000000
50	0.987197
