Tag Length (Average tag length = 49.816956)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000037
3	0.000061
4	0.000120
5	0.000134
6	0.000123
7	0.000121
8	0.000121
9	0.000132
10	0.000140
11	0.000154
12	0.000160
13	0.000160
14	0.000165
15	0.000157
16	0.000160
17	0.000165
18	0.000167
19	0.000161
20	0.000158
21	0.000163
22	0.000162
23	0.000170
24	0.000172
25	0.000167
26	0.000168
27	0.000166
28	0.000167
29	0.000162
30	0.000167
31	0.000167
32	0.000163
33	0.000163
34	0.000158
35	0.000164
36	0.000147
37	0.000152
38	0.000147
39	0.000148
40	0.000137
41	0.000133
42	0.000127
43	0.000119
44	0.000636
45	0.000121
46	0.001115
47	0.000047
48	0.004641
49	0.000000
50	0.987256
