Tag Length (Average tag length = 49.812579)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000041
3	0.000063
4	0.000122
5	0.000140
6	0.000124
7	0.000123
8	0.000130
9	0.000135
10	0.000143
11	0.000156
12	0.000164
13	0.000164
14	0.000172
15	0.000163
16	0.000169
17	0.000167
18	0.000171
19	0.000162
20	0.000164
21	0.000164
22	0.000162
23	0.000171
24	0.000176
25	0.000169
26	0.000166
27	0.000171
28	0.000163
29	0.000170
30	0.000169
31	0.000168
32	0.000160
33	0.000165
34	0.000170
35	0.000166
36	0.000156
37	0.000155
38	0.000151
39	0.000150
40	0.000146
41	0.000141
42	0.000129
43	0.000126
44	0.000632
45	0.000122
46	0.001140
47	0.000047
48	0.004735
49	0.000000
50	0.986987
