Tag Length (Average tag length = 49.816015)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000036
3	0.000060
4	0.000116
5	0.000137
6	0.000123
7	0.000118
8	0.000129
9	0.000129
10	0.000140
11	0.000154
12	0.000159
13	0.000159
14	0.000164
15	0.000156
16	0.000162
17	0.000158
18	0.000167
19	0.000163
20	0.000162
21	0.000163
22	0.000162
23	0.000175
24	0.000173
25	0.000172
26	0.000168
27	0.000159
28	0.000161
29	0.000170
30	0.000167
31	0.000170
32	0.000175
33	0.000166
34	0.000162
35	0.000165
36	0.000159
37	0.000153
38	0.000149
39	0.000146
40	0.000141
41	0.000135
42	0.000130
43	0.000121
44	0.000650
45	0.000121
46	0.001114
47	0.000046
48	0.004672
49	0.000000
50	0.987159
