Tag Length (Average tag length = 49.845049)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000033
3	0.000049
4	0.000102
5	0.000116
6	0.000105
7	0.000104
8	0.000107
9	0.000110
10	0.000121
11	0.000133
12	0.000129
13	0.000131
14	0.000140
15	0.000131
16	0.000136
17	0.000133
18	0.000135
19	0.000140
20	0.000135
21	0.000137
22	0.000141
23	0.000141
24	0.000143
25	0.000142
26	0.000143
27	0.000143
28	0.000144
29	0.000134
30	0.000127
31	0.000139
32	0.000138
33	0.000138
34	0.000136
35	0.000140
36	0.000133
37	0.000131
38	0.000133
39	0.000129
40	0.000127
41	0.000115
42	0.000111
43	0.000105
44	0.000561
45	0.000106
46	0.000929
47	0.000040
48	0.003846
49	0.000000
50	0.989257
