Tag Length (Average tag length = 49.836758)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000032
3	0.000052
4	0.000100
5	0.000122
6	0.000107
7	0.000111
8	0.000118
9	0.000123
10	0.000124
11	0.000133
12	0.000143
13	0.000144
14	0.000148
15	0.000136
16	0.000142
17	0.000144
18	0.000146
19	0.000149
20	0.000139
21	0.000141
22	0.000146
23	0.000148
24	0.000151
25	0.000147
26	0.000155
27	0.000145
28	0.000143
29	0.000152
30	0.000146
31	0.000150
32	0.000144
33	0.000146
34	0.000144
35	0.000146
36	0.000142
37	0.000141
38	0.000130
39	0.000133
40	0.000127
41	0.000124
42	0.000125
43	0.000112
44	0.000580
45	0.000114
46	0.000989
47	0.000042
48	0.004041
49	0.000000
50	0.988685
