Tag Length (Average tag length = 49.831093)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000034
3	0.000053
4	0.000114
5	0.000125
6	0.000120
7	0.000115
8	0.000116
9	0.000121
10	0.000128
11	0.000140
12	0.000150
13	0.000145
14	0.000150
15	0.000151
16	0.000147
17	0.000150
18	0.000151
19	0.000145
20	0.000147
21	0.000143
22	0.000150
23	0.000159
24	0.000155
25	0.000153
26	0.000150
27	0.000158
28	0.000151
29	0.000148
30	0.000144
31	0.000153
32	0.000149
33	0.000146
34	0.000155
35	0.000147
36	0.000147
37	0.000145
38	0.000134
39	0.000131
40	0.000128
41	0.000126
42	0.000115
43	0.000112
44	0.000600
45	0.000107
46	0.001054
47	0.000043
48	0.004243
49	0.000000
50	0.988253
