Tag Length (Average tag length = 62.104270)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000040
3	0.000073
4	0.000127
5	0.000134
6	0.000126
7	0.000132
8	0.000132
9	0.000146
10	0.000155
11	0.000161
12	0.000175
13	0.000171
14	0.000169
15	0.000176
16	0.000161
17	0.000166
18	0.000172
19	0.000164
20	0.000162
21	0.000178
22	0.000186
23	0.000180
24	0.000173
25	0.000174
26	0.000175
27	0.000168
28	0.000163
29	0.000167
30	0.000167
31	0.000172
32	0.000174
33	0.000165
34	0.000166
35	0.000162
36	0.000160
37	0.000167
38	0.000166
39	0.000151
40	0.000145
41	0.000137
42	0.000125
43	0.000131
44	0.000676
45	0.000127
46	0.001078
47	0.000047
48	0.004821
49	0.000000
50	1.232690
