Tag Length (Average tag length = 49.818896)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000037
3	0.000062
4	0.000118
5	0.000137
6	0.000133
7	0.000119
8	0.000126
9	0.000131
10	0.000137
11	0.000152
12	0.000153
13	0.000162
14	0.000162
15	0.000158
16	0.000157
17	0.000162
18	0.000158
19	0.000160
20	0.000155
21	0.000156
22	0.000162
23	0.000172
24	0.000170
25	0.000162
26	0.000162
27	0.000166
28	0.000159
29	0.000160
30	0.000157
31	0.000162
32	0.000156
33	0.000159
34	0.000152
35	0.000157
36	0.000153
37	0.000152
38	0.000146
39	0.000148
40	0.000138
41	0.000130
42	0.000123
43	0.000116
44	0.000634
45	0.000119
46	0.001107
47	0.000049
48	0.004580
49	0.000000
50	0.987412
